"","Age","WorkType","EducationNum","MaritalStatus","Occupation","Relationship","Race","Sex","HoursPerWeek","NativeCountry"
"30",53," Self-Employed",13," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"31",24," Private",13," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"32",49," Private",9," Not-Married"," Admin"," Unmarried"," White"," Female",40,"High-Income"
"33",25," Private",9," Not-Married"," Manual"," Not-in-family"," White"," Male",35,"High-Income"
"34",57," Federal-gov",13," Married"," Professional"," Husband"," Black"," Male",40,"High-Income"
"35",53," Private",9," Married"," Manual"," Husband"," White"," Male",38,"High-Income"
"36",41," State-gov",11," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"37",29," Private",11," Not-Married"," Professional"," Not-in-family"," White"," Male",43,"High-Income"
"38",25," Private",10," Married"," Professional"," Wife"," Other"," Female",40,"High-Income"
"39",47," Private",15," Married"," Professional"," Wife"," White"," Female",60,"Lower-Middle-Income"
"40",47," Self-Employed",9," Not-Married"," Professional"," Not-in-family"," White"," Male",60,"High-Income"
"41",43," Private",10," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"42",46," Private",3," Married"," Manual"," Husband"," White"," Male",40,"Upper-Middle-Income"
"43",35," Private",11," Married"," Service"," Husband"," White"," Male",40,"High-Income"
"44",41," Private",9," Married"," Admin"," Husband"," White"," Male",48,"High-Income"
"45",30," Private",13," Married"," Sales"," Husband"," White"," Male",40,"High-Income"
"46",48," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"47",29," Private",10," Not-Married"," Professional"," Not-in-family"," White"," Male",58,"High-Income"
"48",36," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"49",28," Private",10," Not-Married"," Admin"," Not-in-family"," White"," Female",40,"High-Income"
"50",49," Self-Employed",10," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"51",19," Private",10," Not-Married"," Professional"," Own-child"," White"," Male",32,"High-Income"
"52",29," Self-Employed",13," Married"," Sales"," Husband"," White"," Male",70,"High-Income"
"53",79," Private",10," Married"," Professional"," Other-relative"," White"," Male",20,"High-Income"
"54",27," Private",9," Not-Married"," Service"," Own-child"," White"," Male",40,"Upper-Middle-Income"
"55",40," Private",12," Married"," Admin"," Husband"," White"," Male",40,"High-Income"
"56",18," Private",7," Not-Married"," Service"," Own-child"," White"," Female",22,"High-Income"
"57",31," Local-gov",4," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"58",18," Private",9," Not-Married"," Sales"," Not-in-family"," White"," Male",30,"High-Income"
"59",52," Private",13," Married"," Service"," Husband"," White"," Male",40,"Upper-Middle-Income"
"60",46," Private",9," Married"," Service"," Wife"," White"," Female",40,"High-Income"
"61",59," Private",9," Married"," Sales"," Husband"," White"," Male",48,"High-Income"
"62",44," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Female",40,"High-Income"
"63",49," Local-gov",9," Married"," Other-Occupations"," Husband"," White"," Male",40,"High-Income"
"64",33," Private",14," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"65",30," Private",5," Not-Married"," Sales"," Not-in-family"," White"," Male",40,"High-Income"
"66",37," Private",10," Not-Married"," Skilled-Manual"," Unmarried"," White"," Female",40,"High-Income"
"67",28," Private",10," Not-Married"," Manual"," Unmarried"," Black"," Female",25,"High-Income"
"68",34," Local-gov",13," Married"," Other-Occupations"," Husband"," White"," Male",40,"High-Income"
"69",48," Self-Employed",16," Married"," Professional"," Husband"," White"," Male",60,"High-Income"
"70",37," Private",10," Married"," Sales"," Husband"," White"," Male",48,"High-Income"
"71",48," Private",12," Not-Married"," Professional"," Unmarried"," White"," Female",40,"High-Income"
"72",32," Federal-gov",9," Not-Married"," Service"," Own-child"," Black"," Male",40,"High-Income"
"73",76," Private",14," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"74",29," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",40,"High-Income"
"75",32," Self-Employed",9," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"76",30," Private",7," Not-Married"," Manual"," Own-child"," White"," Male",40,"High-Income"
"77",24," Private",13," Not-Married"," Sales"," Other-relative"," White"," Male",40,"High-Income"
"78",38," Private",15," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"79",56," Self-Employed",9," Married"," Service"," Husband"," White"," Male",50,"High-Income"
"80",28," Private",10," Married"," Sales"," Wife"," White"," Female",25,"High-Income"
"81",55," Private",10," Married"," Sales"," Husband"," White"," Male",56,"High-Income"
"82",22," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",41,"High-Income"
"83",40," Private",13," Married"," Professional"," Husband"," White"," Male",60,"High-Income"
"84",30," Private",13," Not-Married"," Professional"," Own-child"," Black"," Male",40,"High-Income"
"85",29," State-gov",13," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"86",19," Private",10," Not-Married"," Service"," Own-child"," Black"," Male",35,"High-Income"
"87",47," Private",13," Married"," Professional"," Wife"," White"," Female",40,"High-Income"
"88",31," Private",12," Married"," Admin"," Husband"," White"," Male",40,"High-Income"
"89",28," Private",12," Not-Married"," Sales"," Not-in-family"," White"," Female",60,"High-Income"
"90",24," Private",9," Not-Married"," Service"," Not-in-family"," White"," Female",40,"High-Income"
"91",38," Self-Employed",9," Married"," Skilled-Manual"," Husband"," White"," Male",35,"High-Income"
"92",37," Private",13," Married"," Sales"," Husband"," White"," Male",50,"High-Income"
"93",46," Private",12," Not-Married"," Professional"," Not-in-family"," Black"," Female",36,"High-Income"
"94",38," Federal-gov",14," Married"," Professional"," Husband"," White"," Male",40,"Lower-Middle-Income"
"95",43," Self-Employed",9," Married"," Skilled-Manual"," Husband"," White"," Male",60,"High-Income"
"96",27," Private",11," Married"," Admin"," Wife"," White"," Female",35,"High-Income"
"97",20," Private",10," Not-Married"," Sales"," Own-child"," White"," Male",20,"High-Income"
"98",49," Private",10," Married"," Skilled-Manual"," Husband"," Asian-Pac-Islander"," Male",40,"High-Income"
"99",61," Self-Employed",9," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"100",19," Private",10," Not-Married"," Service"," Own-child"," White"," Male",30,"Upper-Middle-Income"
"101",45," Private",11," Not-Married"," Professional"," Not-in-family"," White"," Female",40,"High-Income"
"102",70," Private",10," Not-Married"," Professional"," Other-relative"," White"," Male",40,"High-Income"
"103",31," Private",9," Not-Married"," Skilled-Manual"," Unmarried"," Black"," Female",30,"High-Income"
"104",36," Private",9," Widowed"," Service"," Unmarried"," White"," Female",24,"High-Income"
"105",47," Local-gov",10," Not-Married"," Admin"," Unmarried"," White"," Female",38,"Upper-Middle-Income"
"106",33," Private",13," Not-Married"," Professional"," Other-relative"," Asian-Pac-Islander"," Female",40,"Lower-Middle-Income"
"107",21," Private",9," Not-Married"," Skilled-Manual"," Own-child"," White"," Male",35,"High-Income"
"108",48," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",46,"High-Income"
"109",23," Private",13," Not-Married"," Manual"," Not-in-family"," White"," Male",40,"High-Income"
"110",71," Self-Employed",10," Not-Married"," Sales"," Unmarried"," Black"," Male",2,"High-Income"
"111",29," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",60,"High-Income"
"112",25," Private",9," Not-Married"," Service"," Unmarried"," White"," Female",40,"High-Income"
"113",44," Self-Employed",14," Not-Married"," Professional"," Unmarried"," Asian-Pac-Islander"," Female",40,"High-Income"
"114",28," Private",9," Not-Married"," Professional"," Not-in-family"," Asian-Pac-Islander"," Female",40,"High-Income"
"115",45," Self-Employed",14," Married"," Sales"," Husband"," White"," Male",40,"High-Income"
"116",36," Private",10," Not-Married"," Service"," Unmarried"," White"," Female",40,"Upper-Middle-Income"
"117",39," Federal-gov",12," Not-Married"," Professional"," Not-in-family"," White"," Male",42,"High-Income"
"118",46," State-gov",14," Widowed"," Other-Occupations"," Unmarried"," White"," Male",40,"High-Income"
"119",18," Private",7," Not-Married"," Manual"," Own-child"," White"," Male",16,"High-Income"
"120",66," Local-gov",11," Widowed"," Professional"," Not-in-family"," White"," Female",20,"High-Income"
"121",27," Private",9," Not-Married"," Service"," Not-in-family"," White"," Male",40,"High-Income"
"122",28," State-gov",9," Married"," Other-Occupations"," Husband"," White"," Male",40,"High-Income"
"123",51," Private",10," Married"," Sales"," Husband"," White"," Male",40,"High-Income"
"124",28," State-gov",13," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"125",34," Private",9," Not-Married"," Manual"," Not-in-family"," Black"," Male",40,"High-Income"
"126",33," Private",13," Married"," Professional"," Husband"," White"," Male",65,"High-Income"
"127",44," Local-gov",10," Married"," Professional"," Husband"," Black"," Male",38,"High-Income"
"128",43," Private",10," Not-Married"," Admin"," Not-in-family"," White"," Female",40,"High-Income"
"129",30," Private",10," Not-Married"," Skilled-Manual"," Not-in-family"," Black"," Male",45,"High-Income"
"130",37," Federal-gov",10," Married"," Admin"," Husband"," White"," Male",42,"High-Income"
"131",41," Self-Employed",13," Not-Married"," Professional"," Not-in-family"," White"," Female",40,"High-Income"
"132",58," State-gov",16," Married"," Professional"," Husband"," White"," Male",1,"High-Income"
"133",38," Private",10," Not-Married"," Manual"," Not-in-family"," Black"," Female",28,"High-Income"
"134",24," Private",10," Married"," Manual"," Husband"," White"," Male",40,"High-Income"
"135",41," Federal-gov",13," Married"," Professional"," Husband"," White"," Male",24,"High-Income"
"136",23," Private",3," Married"," Skilled-Manual"," Other-relative"," White"," Male",40,"Upper-Middle-Income"
"137",40," Federal-gov",14," Not-Married"," Professional"," Not-in-family"," White"," Female",55,"High-Income"
"138",35," Private",14," Married"," Professional"," Other-relative"," White"," Male",40,"High-Income"
"139",24," Self-Employed",9," Not-Married"," Sales"," Not-in-family"," White"," Male",40,"High-Income"
"140",26," Private",14," Not-Married"," Professional"," Not-in-family"," White"," Female",40,"High-Income"
"141",51," Private",13," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"142",42," Local-gov",10," Not-Married"," Professional"," Not-in-family"," White"," Female",40,"High-Income"
"143",37," State-gov",9," Not-Married"," Admin"," Unmarried"," White"," Female",35,"High-Income"
"144",18," Private",7," Not-Married"," Sales"," Own-child"," White"," Female",40,"High-Income"
"145",36," Private",13," Married"," Service"," Husband"," Black"," Male",36,"High-Income"
"146",35," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",60,"High-Income"
"147",17," Private",7," Not-Married"," Sales"," Own-child"," White"," Female",12,"High-Income"
"148",44," Local-gov",9," Married"," Skilled-Manual"," Husband"," Black"," Male",40,"High-Income"
"149",37," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"150",35," Private",10," Not-Married"," Sales"," Not-in-family"," Amer-Indian-Eskimo"," Female",40,"High-Income"
"151",60," Private",9," Married"," Skilled-Manual"," Husband"," Asian-Pac-Islander"," Male",40,"High-Income"
"152",54," Self-Employed",4," Married"," Manual"," Husband"," White"," Male",40,"High-Income"
"153",37," Private",13," Not-Married"," Professional"," Not-in-family"," Black"," Male",60,"High-Income"
"154",50," Private",12," Not-Married"," Sales"," Not-in-family"," White"," Female",40,"High-Income"
"155",45," Private",13," Married"," Professional"," Husband"," White"," Male",55,"High-Income"
"156",25," Private",6," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",40,"High-Income"
"157",31," Private",10," Married"," Manual"," Husband"," White"," Male",40,"High-Income"
"158",54," Private",9," Married"," Admin"," Husband"," Black"," Male",20,"High-Income"
"159",53," Local-gov",1," Not-Married"," Manual"," Not-in-family"," White"," Female",35,"High-Income"
"160",18," Private",9," Not-Married"," Sales"," Own-child"," White"," Female",40,"High-Income"
"161",66," Self-Employed",9," Married"," Skilled-Manual"," Husband"," White"," Male",50,"High-Income"
"162",75," Private",11," Widowed"," Admin"," Not-in-family"," White"," Female",20,"Upper-Middle-Income"
"163",65," Private",9," Not-Married"," Admin"," Not-in-family"," White"," Female",40,"High-Income"
"164",35," Private",7," Not-Married"," Skilled-Manual"," Not-in-family"," Black"," Male",40,"High-Income"
"165",25," Private",10," Not-Married"," Admin"," Not-in-family"," White"," Male",42,"High-Income"
"166",33," Private",10," Not-Married"," Skilled-Manual"," Other-relative"," Other"," Female",40,"High-Income"
"167",28," Private",15," Not-Married"," Professional"," Not-in-family"," White"," Male",55,"High-Income"
"168",59," State-gov",9," Married"," Service"," Husband"," White"," Male",40,"High-Income"
"169",40," State-gov",10," Not-Married"," Admin"," Not-in-family"," White"," Female",38,"High-Income"
"170",41," Private",13," Married"," Professional"," Husband"," White"," Male",50,"Lower-Middle-Income"
"171",38," Local-gov",14," Married"," Professional"," Husband"," White"," Male",70,"High-Income"
"172",23," Private",9," Not-Married"," Skilled-Manual"," Own-child"," White"," Male",40,"High-Income"
"173",40," Private",13," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"174",41," Self-Employed",9," Married"," Service"," Wife"," White"," Female",20,"High-Income"
"175",24," State-gov",12," Married"," Other-Occupations"," Husband"," White"," Male",50,"High-Income"
"176",38," Private",10," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",40,"High-Income"
"177",58," Private",9," Married"," Admin"," Husband"," White"," Male",45,"High-Income"
"178",32," Private",9," Not-Married"," Service"," Not-in-family"," White"," Female",34,"High-Income"
"179",40," Private",12," Married"," Professional"," Husband"," White"," Male",60,"High-Income"
"180",41," Private",15," Married"," Professional"," Wife"," White"," Female",40,"High-Income"
"181",42," Private",13," Married"," Admin"," Wife"," Black"," Female",40,"High-Income"
"182",19," Local-gov",10," Not-Married"," Admin"," Own-child"," White"," Male",40,"High-Income"
"183",58," Private",10," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",20,"High-Income"
"184",42," Self-Employed",9," Married"," Skilled-Manual"," Husband"," Asian-Pac-Islander"," Male",40,"Low-Income"
"185",20," Private",9," Not-Married"," Service"," Own-child"," White"," Female",40,"High-Income"
"186",45," Private",11," Widowed"," Professional"," Not-in-family"," White"," Female",45,"High-Income"
"187",36," Private",13," Not-Married"," Professional"," Own-child"," White"," Female",40,"High-Income"
"188",45," Private",9," Married"," Sales"," Husband"," White"," Male",60,"High-Income"
"189",26," Private",7," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"190",37," Self-Employed",10," Married"," Professional"," Husband"," Asian-Pac-Islander"," Male",75,"Lower-Middle-Income"
"191",64," Private",9," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"192",33," Private",9," Married"," Skilled-Manual"," Wife"," White"," Female",40,"High-Income"
"193",17," Private",5," Not-Married"," Service"," Own-child"," White"," Male",24,"High-Income"
"194",50," Self-Employed",14," Married"," Skilled-Manual"," Husband"," White"," Male",98,"High-Income"
"195",25," Private",10," Not-Married"," Professional"," Own-child"," White"," Female",40,"High-Income"
"196",24," Private",10," Married"," Manual"," Wife"," White"," Female",48,"High-Income"
"197",22," Private",13," Not-Married"," Professional"," Not-in-family"," White"," Female",15,"High-Income"
"198",34," Private",12," Not-Married"," Sales"," Unmarried"," Black"," Female",45,"High-Income"
"199",21," Private",9," Not-Married"," Manual"," Own-child"," White"," Male",40,"High-Income"
"200",41," Private",15," Married"," Professional"," Husband"," White"," Male",60,"High-Income"
"201",50," Private",4," Married"," Skilled-Manual"," Husband"," White"," Male",40,"Lower-Middle-Income"
"202",36," Private",13," Married"," Professional"," Husband"," White"," Male",45,"High-Income"
"203",31," Private",9," Not-Married"," Professional"," Not-in-family"," White"," Female",40,"High-Income"
"204",29," Local-gov",13," Not-Married"," Other-Occupations"," Not-in-family"," White"," Male",56,"High-Income"
"205",21," Private",10," Not-Married"," Sales"," Own-child"," White"," Male",45,"High-Income"
"206",65," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",16,"High-Income"
"207",37," Self-Employed",13," Not-Married"," Sales"," Not-in-family"," White"," Female",60,"High-Income"
"208",38," Private",9," Not-Married"," Sales"," Not-in-family"," White"," Male",80,"High-Income"
"209",48," Private",13," Married"," Admin"," Husband"," White"," Male",40,"High-Income"
"210",21," Private",10," Not-Married"," Service"," Not-in-family"," Asian-Pac-Islander"," Female",25,"High-Income"
"211",31," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",45,"High-Income"
"212",55," Private",9," Married"," Sales"," Husband"," White"," Male",40,"High-Income"
"213",24," Private",10," Married"," Admin"," Wife"," Asian-Pac-Islander"," Female",40,"Low-Income"
"214",43," Private",9," Not-Married"," Admin"," Not-in-family"," White"," Female",40,"High-Income"
"215",46," Private",12," Not-Married"," Professional"," Not-in-family"," White"," Female",33,"High-Income"
"216",26," Private",13," Not-Married"," Sales"," Not-in-family"," White"," Male",40,"High-Income"
"217",22," Private",10," Not-Married"," Sales"," Own-child"," White"," Male",15,"High-Income"
"218",24," Private",10," Not-Married"," Manual"," Not-in-family"," White"," Male",40,"High-Income"
"219",77," Self-Employed",10," Married"," Sales"," Husband"," White"," Male",40,"High-Income"
"220",22," Private",3," Married"," Manual"," Other-relative"," White"," Female",40,"Upper-Middle-Income"
"221",29," Private",10," Not-Married"," Professional"," Not-in-family"," White"," Female",40,"High-Income"
"222",62," Private",9," Widowed"," Service"," Not-in-family"," White"," Female",24,"High-Income"
"223",39," Self-Employed",9," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"224",43," Private",10," Married"," Skilled-Manual"," Husband"," White"," Male",50,"High-Income"
"225",76," Self-Employed",14," Married"," Skilled-Manual"," Husband"," White"," Male",10,"High-Income"
"226",43," Private",10," Married"," Professional"," Wife"," White"," Female",50,"High-Income"
"227",58," Self-Employed",9," Married"," Manual"," Husband"," White"," Male",40,"High-Income"
"228",66," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",55,"High-Income"
"229",26," Private",13," Not-Married"," Admin"," Not-in-family"," White"," Male",40,"High-Income"
"230",47," Private",11," Not-Married"," Service"," Not-in-family"," White"," Male",40,"High-Income"
"231",53," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",40,"High-Income"
"232",17," Private",3," Not-Married"," Service"," Other-relative"," White"," Male",48,"Upper-Middle-Income"
"233",30," Private",9," Not-Married"," Skilled-Manual"," Other-relative"," White"," Male",40,"High-Income"
"234",19," Private",9," Not-Married"," Sales"," Unmarried"," Black"," Male",30,"Low-Income"
"235",45," Private",9," Married"," Service"," Husband"," Black"," Male",40,"High-Income"
"236",36," State-gov",9," Married"," Other-Occupations"," Husband"," White"," Male",40,"High-Income"
"237",33," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",20,"High-Income"
"238",22," State-gov",10," Not-Married"," Other-Occupations"," Own-child"," Black"," Female",40,"High-Income"
"239",56," Private",12," Not-Married"," Service"," Not-in-family"," White"," Male",25,"Lower-Middle-Income"
"240",26," Private",9," Married"," Service"," Husband"," White"," Male",40,"High-Income"
"241",33," Private",13," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"242",36," Private",6," Married"," Service"," Wife"," White"," Female",24,"High-Income"
"243",43," Private",13," Married"," Skilled-Manual"," Husband"," White"," Male",45,"High-Income"
"244",43," Private",13," Not-Married"," Professional"," Not-in-family"," White"," Male",45,"High-Income"
"245",22," Private",12," Not-Married"," Sales"," Not-in-family"," White"," Female",15,"High-Income"
"246",57," Private",13," Not-Married"," Professional"," Not-in-family"," White"," Female",45,"High-Income"
"247",39," Private",9," Not-Married"," Sales"," Unmarried"," White"," Female",40,"High-Income"
"248",26," Federal-gov",10," Not-Married"," Admin"," Unmarried"," White"," Female",15,"High-Income"
"249",17," Private",7," Not-Married"," Service"," Own-child"," White"," Male",10,"High-Income"
"250",40," State-gov",11," Married"," Manual"," Husband"," White"," Male",38,"High-Income"
"251",45," Private",9," Married"," Manual"," Husband"," Black"," Male",40,"High-Income"
"252",44," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," Black"," Male",40,"High-Income"
"253",33," Private",9," Married"," Skilled-Manual"," Wife"," White"," Female",40,"High-Income"
"254",46," Self-Employed",14," Not-Married"," Professional"," Not-in-family"," White"," Male",30,"High-Income"
"255",38," Private",9," Married"," Sales"," Husband"," White"," Male",50,"High-Income"
"256",54," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",40,"High-Income"
"257",46," Private",3," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Female",45,"High-Income"
"258",23," Private",9," Not-Married"," Service"," Not-in-family"," White"," Female",25,"High-Income"
"259",29," Private",9," Not-Married"," Manual"," Not-in-family"," White"," Male",40,"High-Income"
"260",44," Private",10," Married"," Admin"," Wife"," White"," Female",6,"High-Income"
"261",19," Private",10," Not-Married"," Admin"," Own-child"," White"," Female",16,"High-Income"
"262",19," Private",9," Not-Married"," Service"," Other-relative"," White"," Female",40,"High-Income"
"263",35," Private",9," Married"," Service"," Wife"," White"," Female",40,"High-Income"
"264",27," Private",13," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",50,"High-Income"
"265",46," Self-Employed",12," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",40,"High-Income"
"266",34," Private",9," Not-Married"," Service"," Not-in-family"," White"," Female",35,"High-Income"
"267",44," Private",10," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"268",45," Private",10," Not-Married"," Manual"," Unmarried"," White"," Female",40,"High-Income"
"269",25," Private",13," Married"," Professional"," Husband"," White"," Male",55,"High-Income"
"270",52," Self-Employed",13," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"271",20," Private",10," Not-Married"," Manual"," Own-child"," White"," Male",40,"High-Income"
"272",28," Private",10," Not-Married"," Service"," Not-in-family"," White"," Female",40,"High-Income"
"273",50," State-gov",13," Married"," Other-Occupations"," Husband"," White"," Male",40,"High-Income"
"274",34," Private",11," Not-Married"," Professional"," Not-in-family"," White"," Female",64,"High-Income"
"275",28," Private",4," Married"," Manual"," Husband"," Other"," Male",40,"High-Income"
"276",46," Self-Employed",9," Married"," Skilled-Manual"," Husband"," White"," Male",25,"High-Income"
"277",32," Private",10," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"278",41," Local-gov",10," Not-Married"," Service"," Not-in-family"," Black"," Female",24,"High-Income"
"279",24," Private",9," Not-Married"," Manual"," Unmarried"," Black"," Female",40,"High-Income"
"280",33," Private",10," Not-Married"," Professional"," Unmarried"," White"," Female",40,"High-Income"
"281",35," Private",8," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",50,"High-Income"
"282",52," Private",2," Married"," Manual"," Husband"," White"," Male",40,"Upper-Middle-Income"
"283",30," Private",7," Not-Married"," Service"," Own-child"," White"," Female",19,"High-Income"
"284",34," State-gov",9," Not-Married"," Skilled-Manual"," Unmarried"," White"," Female",40,"High-Income"
"285",20," Private",10," Married"," Sales"," Husband"," White"," Male",30,"High-Income"
"286",32," State-gov",13," Married"," Professional"," Wife"," White"," Female",40,"High-Income"
"287",29," Private",9," Not-Married"," Skilled-Manual"," Not-in-family"," White"," Male",40,"High-Income"
"288",33," Private",6," Not-Married"," Skilled-Manual"," Unmarried"," White"," Female",35,"High-Income"
"289",25," Private",9," Married"," Skilled-Manual"," Husband"," White"," Male",60,"High-Income"
"290",36," Federal-gov",14," Not-Married"," Professional"," Not-in-family"," White"," Male",40,"High-Income"
"291",23," Private",9," Not-Married"," Manual"," Not-in-family"," White"," Male",72,"Upper-Middle-Income"
"292",63," Self-Employed",9," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"293",47," Local-gov",14," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"294",40," Self-Employed",13," Not-Married"," Professional"," Not-in-family"," White"," Female",40,"High-Income"
"295",30," Private",12," Married"," Service"," Wife"," White"," Female",25,"High-Income"
"296",27," Private",10," Not-Married"," Skilled-Manual"," Own-child"," Asian-Pac-Islander"," Male",40,"Lower-Middle-Income"
"297",33," Private",14," Married"," Professional"," Husband"," White"," Male",50,"High-Income"
"298",34," Local-gov",9," Not-Married"," Skilled-Manual"," Not-in-family"," Black"," Male",60,"High-Income"
"299",29," Private",13," Not-Married"," Professional"," Not-in-family"," White"," Male",40,"High-Income"
"300",45," Private",9," Not-Married"," Admin"," Not-in-family"," White"," Female",28,"High-Income"
"301",44," Private",10," Married"," Professional"," Husband"," White"," Male",40,"High-Income"
"302",27," Private",5," Not-Married"," Skilled-Manual"," Other-relative"," White"," Male",40,"Upper-Middle-Income"
"303",20," Private",10," Not-Married"," Sales"," Not-in-family"," White"," Male",35,"High-Income"
"304",44," Private",9," Widowed"," Professional"," Unmarried"," Black"," Female",40,"High-Income"
"305",51," Private",9," Married"," Skilled-Manual"," Husband"," Amer-Indian-Eskimo"," Male",40,"High-Income"
"306",20," Private",9," Married"," Manual"," Husband"," White"," Male",40,"High-Income"
"307",19," Private",9," Not-Married"," Manual"," Own-child"," Black"," Female",40,"High-Income"
"308",45," Self-Employed",10," Married"," Skilled-Manual"," Husband"," White"," Male",55,"High-Income"
"309",40," Private",11," Married"," Manual"," Husband"," Asian-Pac-Islander"," Male",40,"High-Income"
